,mention_id,unique_id,uuid,patent_id,inventor_id,rawlocation_id,name_first,name_last,sequence,rule_47,deceased,id,location_id,city,state,country,latlong
0,US3858246-0,11797,,,,,,,,,,,,,,,
1,US3858578-0,11797,,,,,,,,,,,,,,,
2,US3858674-0,16606,,,,,,,,,,,,,,,
3,US3859165-0,13384,,,,,,,,,,,,,,,
4,US3859616-0,9865,,,,,,,,,,,,,,,
5,US3860581-0,12533,,,,,,,,,,,,,,,
6,US3860582-0,14898,,,,,,,,,,,,,,,
7,US3862035-0,6688,,,,,,,,,,,,,,,
8,US3862418-0,13345,,,,,,,,,,,,,,,
9,US3862548-0,9865,,,,,,,,,,,,,,,
10,US3862854-1,2148,,,,,,,,,,,,,,,
11,US3862927-3,9297,,,,,,,,,,,,,,,
12,US3863381-0,9865,,,,,,,,,,,,,,,
13,US3864144-0,10605,,,,,,,,,,,,,,,
14,US3864147-0,7521,,,,,,,,,,,,,,,
15,US3864937-0,720,,,,,,,,,,,,,,,
16,US3865071-0,11172,,,,,,,,,,,,,,,
17,US3865113-1,8799,,,,,,,,,,,,,,,
18,US3865114-0,15412,,,,,,,,,,,,,,,
19,US3866890-0,16616,,,,,,,,,,,,,,,
20,US3866997-1,10818,,,,,,,,,,,,,,,
21,US3867468-3,2991,,,,,,,,,,,,,,,
22,US3868308-0,1193,,,,,,,,,,,,,,,
23,US3868587-0,12121,,,,,,,,,,,,,,,
24,US3869475-1,8356,,,,,,,,,,,,,,,
25,US3870645-2,1728,,,,,,,,,,,,,,,
26,US3871211-0,16655,,,,,,,,,,,,,,,
27,US3871626-0,17767,,,,,,,,,,,,,,,
28,US3873426-0,8945,,,,,,,,,,,,,,,
29,US3875193-0,11455,,,,,,,,,,,,,,,
30,US3876051-0,8641,,,,,,,,,,,,,,,
31,US3876160-0,2148,,,,,,,,,,,,,,,
32,US3876657-0,139,,,,,,,,,,,,,,,
33,US3876768-0,2114,,,,,,,,,,,,,,,
34,US3878187-1,17216,,,,,,,,,,,,,,,
35,US3879198-1,10605,,,,,,,,,,,,,,,
36,US3879686-2,16581,,,,,,,,,,,,,,,
37,US3880567-0,13418,,,,,,,,,,,,,,,
38,US3880731-5,16939,,,,,,,,,,,,,,,
39,US3881671-0,2286,,,,,,,,,,,,,,,
40,US3881800-0,5575,,,,,,,,,,,,,,,
41,US3881812-0,1685,,,,,,,,,,,,,,,
42,US3882482-0,6889,,,,,,,,,,,,,,,
43,US3882779-0,5822,,,,,,,,,,,,,,,
44,US3882815-0,1729,,,,,,,,,,,,,,,
45,US3882890-0,14083,,,,,,,,,,,,,,,
46,US3882929-0,2474,,,,,,,,,,,,,,,
47,US3883228-0,1968,,,,,,,,,,,,,,,
48,US3883983-0,3304,,,,,,,,,,,,,,,
49,US3884013-0,16276,,,,,,,,,,,,,,,
50,US3884067-0,12004,,,,,,,,,,,,,,,
51,US3884704-1,8261,,,,,,,,,,,,,,,
52,US3885156-0,13384,,,,,,,,,,,,,,,
53,US3885281-0,16405,,,,,,,,,,,,,,,
54,US3885366-0,9110,,,,,,,,,,,,,,,
55,US3885990-1,8232,,,,,,,,,,,,,,,
56,US3886042-0,2187,,,,,,,,,,,,,,,
57,US3886276-1,12533,,,,,,,,,,,,,,,
58,US3886748-0,2474,,,,,,,,,,,,,,,
59,US3887131-0,2287,,,,,,,,,,,,,,,
60,US3887138-0,6236,,,,,,,,,,,,,,,
61,US3888393-0,3833,,,,,,,,,,,,,,,
62,US3888461-0,2451,,,,,,,,,,,,,,,
63,US3888514-0,9311,,,,,,,,,,,,,,,
64,US3888547-0,13927,,,,,,,,,,,,,,,
65,US3888759-1,865,,,,,,,,,,,,,,,
66,US3888770-0,865,,,,,,,,,,,,,,,
67,US3889760-0,11161,,,,,,,,,,,,,,,
68,US3891203-0,14801,,,,,,,,,,,,,,,
69,US3891544-0,1422,,,,,,,,,,,,,,,
70,US3893308-0,1278,,,,,,,,,,,,,,,
71,US3893363-0,3229,,,,,,,,,,,,,,,
72,US3894013-0,12533,,,,,,,,,,,,,,,
73,US3894183-0,1268,,,,,,,,,,,,,,,
74,US3894322-0,12849,,,,,,,,,,,,,,,
75,US3895292-1,7233,,,,,,,,,,,,,,,
76,US3895439-1,8162,,,,,,,,,,,,,,,
77,US3896978-0,14603,,,,,,,,,,,,,,,
78,US3897346-0,19020,,,,,,,,,,,,,,,
79,US3897772-0,834,,,,,,,,,,,,,,,
80,US3898465-0,18394,,,,,,,,,,,,,,,
81,US3898761-0,18671,,,,,,,,,,,,,,,
82,US3899104-0,9541,,,,,,,,,,,,,,,
83,US3899645-0,2308,,,,,,,,,,,,,,,
84,US3900560-0,8577,,,,,,,,,,,,,,,
85,US3901527-1,3467,,,,,,,,,,,,,,,
86,US3901990-0,16276,,,,,,,,,,,,,,,
87,US3902306-0,14021,,,,,,,,,,,,,,,
88,US3902886-0,1082,,,,,,,,,,,,,,,
89,US3902908-1,8261,,,,,,,,,,,,,,,
90,US3903094-0,17761,,,,,,,,,,,,,,,
91,US3903210-0,4301,,,,,,,,,,,,,,,
92,US3903247-1,1063,,,,,,,,,,,,,,,
93,US3903276-0,12533,,,,,,,,,,,,,,,
94,US3903414-0,8043,,,,,,,,,,,,,,,
95,US3903664-0,3741,,,,,,,,,,,,,,,
96,US3904274-1,10872,,,,,,,,,,,,,,,
97,US3904344-1,14494,,,,,,,,,,,,,,,
98,US3905271-0,10140,,,,,,,,,,,,,,,
99,US3906043-0,11214,,,,,,,,,,,,,,,
100,US3906250-0,10946,,,,,,,,,,,,,,,
101,US3906462-1,10872,,,,,,,,,,,,,,,
102,US3907041-0,11161,,,,,,,,,,,,,,,
103,US3907402-0,5575,,,,,,,,,,,,,,,
104,US3907788-0,12533,,,,,,,,,,,,,,,
105,US3908660-0,8799,,,,,,,,,,,,,,,
106,US3909454-0,979,,,,,,,,,,,,,,,
107,US3910300-0,16655,,,,,,,,,,,,,,,
108,US3910984-1,10563,,,,,,,,,,,,,,,
109,US3912052-0,9157,,,,,,,,,,,,,,,
110,US3912141-0,580,,,,,,,,,,,,,,,
